,potencia,preco,modulo,qtd_modulo,inversor,qtd_inversor,estrutura,data
0,"0,565 kWp","R$ 3.200,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,1,IIN00126 - ENPHASE IQ7AM-72-2-US - 335W - 220V,1,"IEF00169 - PARAFUSO MARTELO M8X25
Quantidade: 1
arrow_forward_ios
IEF00167 - PORCA SEXT FLANG M8
Quantidade: 1
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 2
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 4
arrow_forward_ios",2023-05-09
1,"1,695 kWp","R$ 5.900,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,3,IIN00084 - GROWATT MIC1500TL-X - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 4
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 4
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 2
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 6
arrow_forward_ios",2023-05-09
2,"2,75 kWp","R$ 8.200,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,5,IIN00085 - GROWATT MIC2000TL-X - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 8
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 6
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 10
arrow_forward_ios",2023-05-09
3,"3,955 kWp","R$ 11.000,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,7,IIN00078 - GROWATT MIC3000TL-X -220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 12
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 12
arrow_forward_ios",2023-05-09
4,"4,4 kWp","R$ 11.500,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,8,IIN00193 - FOXESS S3000-G2 - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
5,"3,955 kWp","R$ 11.900,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,7,IIN00066 - GROWATT MIN3000TL-X - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
6,"4,4 kWp","R$ 12.300,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,8,IIN00130 - SUNGROW SG3.0RS-S - 220V - 1MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 4
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
7,"3,955 kWp","R$ 12.400,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,7,IIN00027 - SUNGROW SG3K-D - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 10
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 9
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 6
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 14
arrow_forward_ios",2023-05-09
8,"5,085 kWp","R$ 15.600,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,9,IIN00029 - SUNGROW SG4K-D - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 14
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 6
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 18
arrow_forward_ios",2023-05-09
9,"4,4 kWp","R$ 16.000,00",IMO00068 - PAINEL JA SOLAR JAM72S30-550/MR,8,IIN00001 - FRONIUS PRIMO 3.0-1 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 12
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00143 - PERFIL SUPORTE SMART 2,10M
Quantidade: 10
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 8
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 16
arrow_forward_ios",2023-05-09
10,"7,345 kWp","R$ 18.800,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00184 - FOXESS F5000 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
11,"7,345 kWp","R$ 19.600,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00068 - GROWATT MIN5000TL-X - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
12,"7,345 kWp","R$ 19.700,00",IMO00070 - PAINEL JINKO JKM565N-72HL4-V,13,IIN00133 - SUNGROW SG5.0RS - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 22
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 8
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 22
arrow_forward_ios",2023-05-09
13,"5,94 kWp","R$ 19.800,00",IMO00069 - PAINEL JA JAM72D30-540/MB BF,11,IIN00002 - FRONIUS PRIMO 4.0-1 - 220V - 2MPPT,1,"IEF00131 - GRAMPO INTERMEDIARIO SMART
Quantidade: 18
arrow_forward_ios
IEF00132 - GRAMPO TERMINAL SMART
Quantidade: 8
arrow_forward_ios
IEF00127 - PERFIL SUPORTE SMART 4,20M
Quantidade: 7
arrow_forward_ios
IEF00009 - JUNCAO U DO PERFIL
Quantidade: 4
arrow_forward_ios
IEF00045 - PARAFUSO PRISIONEIRO M10X200
Quantidade: 20
arrow_forward_ios",2023-05-09
